	DLT0#LOT08	DLT0#LOT05	DLT0#LOT03	DLT0#LOT07	DLT0#LOT06	DLT0#LOT01	DLT0#LOT04	DLT0#LOT10	MVT0#LOT05	MVT0#LOT01	MVT0#LOT06	MVT0#LOT07	MVT0#LOT03	MVT0#LOT09	MVT0#LOT08	MVT0#LOT10	BHT0#LOT01	BHT0#LOT07	BHT0#LOT06	BHT0#LOT03	BHT0#LOT10	BHT0#LOT05	BHT0#LOT04	BHT0#LOT08	VHT0#LOT02	VHT0#LOT10	VHT0#LOT03	VHT0#LOT01	VHT0#LOT08	VHT0#LOT06	VHT0#LOT07	VHT0#LOT04	SFT0#LOT08	SFT0#LOT07	SFT0#LOT06	SFT0#LOT03	SFT0#LOT02	SFT0#LOT05	SFT0#LOT04	SFT0#LOT01	FST0#LOT07	FST0#LOT08	FST0#LOT05	FST0#LOT06	FST0#LOT01	FST0#LOT03	FST0#LOT10	FST0#LOT02	FCT0#LOT06	FCT0#LOT10	FCT0#LOT05	FCT0#LOT03	FCT0#LOT08	FCT0#LOT02	FCT0#LOT07	FCT0#LOT01	CDT0#LOT10	CDT0#LOT08	CDT0#LOT05	CDT0#LOT04	CDT0#LOT06	CDT0#LOT09	CDT0#LOT07	CDT0#LOT02
otu_00601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	14	0	0	0	0	0	0	0	0	4
otu_01717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	55	0	4	37	5
otu_01852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	40	0	3	3	7
otu_00241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	50	0	2	0	28	13
otu_00521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	3	2	0	0	0
otu_01860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	3	302	2	6	3
otu_00632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	91	2	6	7	23
otu_01659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	58	29	0	4	7	7
otu_01685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	29	8	2	11	43
otu_01851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	71	6	3	12	26
