	SampleID	EnvType	Description	FoodType
BHT0.LOT01	BHT0#LOT01	BoeufHache	LOT1	Meat
BHT0.LOT03	BHT0#LOT03	BoeufHache	LOT3	Meat
BHT0.LOT04	BHT0#LOT04	BoeufHache	LOT4	Meat
BHT0.LOT05	BHT0#LOT05	BoeufHache	LOT5	Meat
BHT0.LOT06	BHT0#LOT06	BoeufHache	LOT6	Meat
BHT0.LOT07	BHT0#LOT07	BoeufHache	LOT7	Meat
BHT0.LOT08	BHT0#LOT08	BoeufHache	LOT8	Meat
BHT0.LOT10	BHT0#LOT10	BoeufHache	LOT10	Meat
CDT0.LOT02	CDT0#LOT02	Crevette	LOT2	Seafood
CDT0.LOT04	CDT0#LOT04	Crevette	LOT4	Seafood
CDT0.LOT05	CDT0#LOT05	Crevette	LOT5	Seafood
CDT0.LOT06	CDT0#LOT06	Crevette	LOT6	Seafood
CDT0.LOT07	CDT0#LOT07	Crevette	LOT7	Seafood
CDT0.LOT08	CDT0#LOT08	Crevette	LOT8	Seafood
CDT0.LOT09	CDT0#LOT09	Crevette	LOT9	Seafood
CDT0.LOT10	CDT0#LOT10	Crevette	LOT10	Seafood
DLT0.LOT01	DLT0#LOT01	DesLardons	LOT1	Meat
DLT0.LOT03	DLT0#LOT03	DesLardons	LOT3	Meat
DLT0.LOT04	DLT0#LOT04	DesLardons	LOT4	Meat
DLT0.LOT05	DLT0#LOT05	DesLardons	LOT5	Meat
DLT0.LOT06	DLT0#LOT06	DesLardons	LOT6	Meat
DLT0.LOT07	DLT0#LOT07	DesLardons	LOT7	Meat
DLT0.LOT08	DLT0#LOT08	DesLardons	LOT8	Meat
DLT0.LOT10	DLT0#LOT10	DesLardons	LOT10	Meat
FCT0.LOT01	FCT0#LOT01	FiletCabillaud	LOT1	Seafood
FCT0.LOT02	FCT0#LOT02	FiletCabillaud	LOT2	Seafood
FCT0.LOT03	FCT0#LOT03	FiletCabillaud	LOT3	Seafood
FCT0.LOT05	FCT0#LOT05	FiletCabillaud	LOT5	Seafood
FCT0.LOT06	FCT0#LOT06	FiletCabillaud	LOT6	Seafood
FCT0.LOT07	FCT0#LOT07	FiletCabillaud	LOT7	Seafood
FCT0.LOT08	FCT0#LOT08	FiletCabillaud	LOT8	Seafood
FCT0.LOT10	FCT0#LOT10	FiletCabillaud	LOT10	Seafood
FST0.LOT01	FST0#LOT01	FiletSaumon	LOT1	Seafood
FST0.LOT02	FST0#LOT02	FiletSaumon	LOT2	Seafood
FST0.LOT03	FST0#LOT03	FiletSaumon	LOT3	Seafood
FST0.LOT05	FST0#LOT05	FiletSaumon	LOT5	Seafood
FST0.LOT06	FST0#LOT06	FiletSaumon	LOT6	Seafood
FST0.LOT07	FST0#LOT07	FiletSaumon	LOT7	Seafood
FST0.LOT08	FST0#LOT08	FiletSaumon	LOT8	Seafood
FST0.LOT10	FST0#LOT10	FiletSaumon	LOT10	Seafood
MVT0.LOT01	MVT0#LOT01	MerguezVolaille	LOT1	Meat
MVT0.LOT03	MVT0#LOT03	MerguezVolaille	LOT3	Meat
MVT0.LOT05	MVT0#LOT05	MerguezVolaille	LOT5	Meat
MVT0.LOT06	MVT0#LOT06	MerguezVolaille	LOT6	Meat
MVT0.LOT07	MVT0#LOT07	MerguezVolaille	LOT7	Meat
MVT0.LOT08	MVT0#LOT08	MerguezVolaille	LOT8	Meat
MVT0.LOT09	MVT0#LOT09	MerguezVolaille	LOT9	Meat
MVT0.LOT10	MVT0#LOT10	MerguezVolaille	LOT10	Meat
SFT0.LOT01	SFT0#LOT01	SaumonFume	LOT1	Seafood
SFT0.LOT02	SFT0#LOT02	SaumonFume	LOT2	Seafood
SFT0.LOT03	SFT0#LOT03	SaumonFume	LOT3	Seafood
SFT0.LOT04	SFT0#LOT04	SaumonFume	LOT4	Seafood
SFT0.LOT05	SFT0#LOT05	SaumonFume	LOT5	Seafood
SFT0.LOT06	SFT0#LOT06	SaumonFume	LOT6	Seafood
SFT0.LOT07	SFT0#LOT07	SaumonFume	LOT7	Seafood
SFT0.LOT08	SFT0#LOT08	SaumonFume	LOT8	Seafood
VHT0.LOT01	VHT0#LOT01	VeauHache	LOT1	Meat
VHT0.LOT02	VHT0#LOT02	VeauHache	LOT2	Meat
VHT0.LOT03	VHT0#LOT03	VeauHache	LOT3	Meat
VHT0.LOT04	VHT0#LOT04	VeauHache	LOT4	Meat
VHT0.LOT06	VHT0#LOT06	VeauHache	LOT6	Meat
VHT0.LOT07	VHT0#LOT07	VeauHache	LOT7	Meat
VHT0.LOT08	VHT0#LOT08	VeauHache	LOT8	Meat
VHT0.LOT10	VHT0#LOT10	VeauHache	LOT10	Meat
