"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Acidaminococcus" "Bacteria" "Firmicutes" "Negativicutes" "Acidaminococcales" "Acidaminococcaceae" "Acidaminococcus" "NA"
"Acidovorax" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Acidovorax" "NA"
"Acinetobacter" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Acinetobacter" "NA"
"Actinobacillus" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pasteurellales" "Pasteurellaceae" "Actinobacillus" "NA"
"Actinobaculum" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Actinobaculum" "NA"
"Actinomyces" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Actinomyces" "NA"
"Aerococcus" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Aerococcaceae" "Aerococcus" "NA"
"Alistipes" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "NA"
"Anaerococcus" "Bacteria" "Firmicutes" "Tissierellia" "Tissierellales" "Peptoniphilaceae" "Anaerococcus" "NA"
"Anaeroglobus" "Bacteria" "Firmicutes" "Negativicutes" "Veillonellales" "Veillonellaceae" "Anaeroglobus" "NA"
"Anaerovorax" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiales Family XIII. Incertae Sedis" "Anaerovorax" "NA"
"Aquabacterium" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "unclassified Burkholderiales" "Aquabacterium" "NA"
"Arcanobacterium" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Arcanobacterium" "NA"
"Arthrobacter" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Arthrobacter" "NA"
"Atopobacter" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Carnobacteriaceae" "Atopobacter" "NA"
"Atopobium" "Bacteria" "Actinobacteria" "Coriobacteriia" "Coriobacteriales" "Atopobiaceae" "Atopobium" "NA"
"Bacillales_5" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillales Family X. Incertae Sedis" NA "NA"
"Bacilli_4" "Bacteria" "Firmicutes" "Bacilli" "NA" "NA" "NA" "NA"
"Bacilli_2" "Bacteria" "Firmicutes" "Bacilli" "NA" "NA" "NA" "NA"
"Bacillus_c" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" "NA"
"Bacillus_j" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteria_4" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteria_17" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteria_22" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteria_19" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteria_5" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteria_15" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteria_12" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteria_23" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteria_6" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteria_8" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteria_11" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Bacteroidales_1" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "NA" "NA" "NA"
"Bacteroidales_2" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "NA" "NA" "NA"
"Bacteroides" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "NA"
"Bacteroidetes_8" "Bacteria" "Bacteroidetes" "NA" "NA" "NA" "NA" "NA"
"Bacteroidetes_12" "Bacteria" "Bacteroidetes" "NA" "NA" "NA" "NA" "NA"
"Bacteroidetes_5" "Bacteria" "Bacteroidetes" "NA" "NA" "NA" "NA" "NA"
"Bacteroidetes_1" "Bacteria" "Bacteroidetes" "NA" "NA" "NA" "NA" "NA"
"Bacteroidetes_7" "Bacteria" "Bacteroidetes" "NA" "NA" "NA" "NA" "NA"
